red_izo;adresa
651015995;Stříbrského 2139, Praha 4, Czech Republic
600005381;Zelený pruh 50, Praha 4, Czech Republic
600005054;Ohradní 55, Praha 4, Czech Republic
600005259;Ohradní 57, Praha 4, Czech Republic
600005186;Pertoldova 3373, Praha 4, Czech Republic
600005411;Libušská 320, Praha 4, Czech Republic
600005429;Hrusická 2537, Praha 4, Czech Republic
600005178;Tererova 2135, Praha 4, Czech Republic
600004821;Boleslavova 1, Praha 4, Czech Republic
691000468;Na Planině 1393, Praha 4, Czech Republic
600005208;Konstantinova 1500, Praha 4, Czech Republic
600005046;Písnická 760, Praha 4, Czech Republic
600005089;Postupická 3150, Praha 4, Czech Republic
600005143;Na Vítězné pláni 1160, Praha 4, Czech Republic
600005348;Budějovická 680, Praha 4, Czech Republic
600005267;Rakovského  3136/II, Praha 4, Czech Republic
600005364;Machkova  1646/II, Praha 4, Czech Republic
600005151;Svatoslavova 333, Praha 4, Czech Republic
600005453;Němčická 1749, Praha 4, Czech Republic
600005241;Nedvědovo nám. 140, Praha 4, Czech Republic
650008791;Na Planině 1393, Praha 4, Czech Republic
600005445;Němčická 1749, Praha 4, Czech Republic
600005071;Družstevní ochoz 3, Praha 4, Czech Republic
600020959;Vídeňská 28, Praha 4, Czech Republic
600005461;Smolkova 565, Praha 4, Czech Republic
651036101;Na Veselí 51, Praha 4, Czech Republic
650075684;Křejpského 1501, Praha 4, Czech Republic
600005275;Schulhoffova 844, Praha 4, Czech Republic
600005356;K Milíčovu 674, Praha 4, Czech Republic
600005291;Svatoslavova 333, Praha 4, Czech Republic
600005399;K Sídlišti 840, Praha 4, Czech Republic
600005402;Michelská  12, Praha 4, Czech Republic
600019462;5. května 51, Praha 4, Czech Republic
600020916;Kupeckého 576, Praha 4, Czech Republic
600021327;Křejpského 1501, Praha 4, Czech Republic
651028922;Weberova 1, Praha 5, Czech Republic
600004872;Plzeňská 39, Praha 5, Czech Republic
600005585;Pod Klapicí 11, Praha 5, Czech Republic
600005518;Zborovská 45, Praha 5, Czech Republic
600005666;Kuncova 1580, Praha 5, Czech Republic
600005569;U Závodiště 325, Praha 5, Czech Republic
600171418;Radlická 115, Praha 5, Czech Republic
600005534;Mezi Školami 2475, Praha 5, Czech Republic
691000212;Kuncova 1580, Praha 5, Czech Republic
600005500;Loučanská 520, Praha 5, Czech Republic
600005496;Na Zatlance 11, Praha 5, Czech Republic
600005623;Nad Kavalírkou 1, Praha 5, Czech Republic
600005631;Radlická 115, Praha 5, Czech Republic
650004639;Schwarzenberská 700, Praha 5, Czech Republic
600005542;Preslova 25, Praha 5, Czech Republic
600005674;Drtinova 3, Praha 5, Czech Republic
600005640;Nový Zlíchov 1, Praha 5, Czech Republic
600021050;Výmolova 169, Praha 5, Czech Republic
600171426;Holečkova 4, Praha 5, Czech Republic
600005658;Plzeňská 298, Praha 5, Czech Republic
650065115;Radlická 30, Praha 5, Czech Republic
691001111;Bělohorská 182, Praha 6, Czech Republic
600021106;Rooseveltova 8, Praha 6, Czech Republic
600005810;K Letišti 278, Praha 6, Czech Republic
600005593;Španielova 1111, Praha 6, Czech Republic
600006158;Laudova 10, Praha 6, Czech Republic
600005691;Parléřova 2, Praha 6, Czech Republic
600005682;Arabská 14, Praha 6, Czech Republic
600005771;Nad Alejí 1952, Praha 6, Czech Republic
600005721;Krupkovo náměstí 4, Praha 6, Czech Republic
600005747;Šmolíkova 864, Praha 6, Czech Republic
600005828;Koulova 15, Praha 6, Czech Republic
600005844;Evropská 33, Praha 6, Czech Republic
600005984;Strossmayerovo náměstí 990, Praha 7, Czech Republic
600006409;Trojská 211, Praha 7, Czech Republic
651040744;V Podhoří 285, Praha 7, Czech Republic
600005895;Trojská 110, Praha 7, Czech Republic
600171701;Nad Štolou 1, Praha 7, Czech Republic
600170012;Jablonského 3, Praha 7, Czech Republic
600005551;U Uranie 14, Praha 7, Czech Republic
600005861;Jablonského 3, Praha 7, Czech Republic
600005950;Svídnická 506, Praha 8, Czech Republic
600006034;Svídnická 1a/599, Praha 8, Czech Republic
600006077;Vítkova 12, Praha 8, Czech Republic
650025563;Pernerova 383, Praha 8, Czech Republic
600005101;Karlínské náměstí 8, Praha 8, Czech Republic
600006051;Hovorčovická 1281, Praha 8, Czech Republic
600006018;Lindnerova 3, Praha 8, Czech Republic
600006085;V Holešovičkách 2, Praha 8, Czech Republic
600005933;U Libeňského zámku 1, Praha 8, Czech Republic
600005992;Ústavní 400, Praha 8, Czech Republic
600005976;Kollárova 5, Praha 8, Czech Republic
600005968;Pernerova 25, Praha 8, Czech Republic
600021181;Chabařovická 4, Praha 8, Czech Republic
600006042;Nad Rokoskou 111, Praha 8, Czech Republic
600006000;Hnězdenská 549, Praha 8, Czech Republic
600006310;Pernerova 383, Praha 8, Czech Republic
600006026;Svídnická 1A, Praha 8, Czech Republic
600170021;U Měšťanských škol 525, Praha 8, Czech Republic
610380273;Chabařovická 1125, Praha 8, Czech Republic
610380109;Střížkovská 27, Praha 8, Czech Republic
600006301;Chvaletická 918, Praha 14, Czech Republic
600006433;Ke Stadionu 623, Praha 9, Czech Republic
600021211;Českobrodská 32a, Praha 9, Czech Republic
600005798;Českobrodská 362, Praha 9, Czech Republic
600006298;Slavětínská 82, Praha 9, Czech Republic
600006239;Litvínovská 600, Praha 9, Czech Republic
600006255;Vinořská 163, Praha 9, Czech Republic
600006140;Sokolovská 320, Praha 9, Czech Republic
600006174;Novovysočanská 48, Praha 9, Czech Republic
600006131;nám.  25. března 100, Praha 9, Czech Republic
600006107;Vysočanské nám. 500, Praha 9, Czech Republic
600006115;Českolipská 373, Praha 9, Czech Republic
600006166;Chodovická 2250, Praha 9, Czech Republic
600006247;Litoměřická 726, Praha 9, Czech Republic
600006352;Špitálská  2, Praha 9, Czech Republic
600005836;Vinořská 163, Praha 9, Czech Republic
600170071;Učňovská 1, Praha 9, Czech Republic
600170047;Lipí 1911, Praha 9, Czech Republic
600006280;Učňovská 1, Praha 9, Czech Republic
600006379;Podkovářská 4, Praha 9, Czech Republic
600006387;Za Černým mostem 3, Praha 9, Czech Republic
600006328;Českobrodská 32a, Praha 9, Czech Republic
600006450;Kardašovská 691, Praha 9, Czech Republic
600006441;Bratří Venclíků 1140, Praha 9, Czech Republic
600006123;Pod Táborem 300, Praha 9, Czech Republic
600170063;Poděbradská 1, Praha 9, Czech Republic
600006654;Beranových 140, Praha 9, Czech Republic
600006263;Novovysočanská 5, Praha 9, Czech Republic
600170039;Novoborská 2, Praha 9, Czech Republic
600027686;Čakovická 51, Praha 9, Czech Republic
600006476;Kozinova 1000, Praha 10, Czech Republic
600021360;Chotouňská  476, Praha 10, Czech Republic
600005160;Dopplerova 351, Praha 10, Czech Republic
600006603;Voděradská 2, Praha 10, Czech Republic
600006620;Dubečská 900, Praha 10, Czech Republic
600006549;Nad Vodovodem 460, Praha 10, Czech Republic
600006531;Trhanovské náměstí 8, Praha 10, Czech Republic
600006646;Omská 1300, Praha 10, Czech Republic
600171710;Přípotoční 1337, Praha 10, Czech Republic
600004741;Vršovická 43, Praha 10, Czech Republic
600006573;Heroldovy sady 1, Praha 10, Czech Republic
600006581;U Krbu 45, Praha 10, Czech Republic
600006514;V Úžlabině 320, Praha 10, Czech Republic
600170080;Weilova 4, Praha 10, Czech Republic
600006638;Jesenická 1, Praha 10, Czech Republic
600006662;Hornoměcholupská 873, Praha 10, Czech Republic
600006565;Na Třebešíně 2299, Praha 10, Czech Republic
600019471;Ruská 91, Praha 10, Czech Republic
600006786;Husova 742, Benešov u Prahy, Czech Republic
600006671;Husova 470, Benešov, Czech Republic
600170098;Černoleská 1997, Benešov, Czech Republic
600006727;Černoleská 1997, Benešov, Czech Republic
600006735;Jana Nohy 1302, Benešov, Czech Republic
600006794;Táborská 458, Benešov, Czech Republic
600019489;Máchova 400, Benešov, Czech Republic
600006689;Mendelova 131, Benešov, Czech Republic
600042260;Konopišťská 386, Benešov, Czech Republic
600006778;Školní 303, Neveklov, Czech Republic
600006751;Tylova 271, Vlašim, Czech Republic
600006701;V Sadě 1565, Vlašim, Czech Republic
600006760;Zámek 1, Vlašim, Czech Republic
600006697;Komenského 41, Vlašim, Czech Republic
600006859;Okružní 1404, Beroun, Czech Republic
651027888;Tovární 66, Beroun, Czech Republic
650004311;Tovární 66, Beroun, Czech Republic
600006808;Talichova 824, Beroun 2, Czech Republic
600006832;U Stadionu 486, Beroun, Czech Republic
600019497;Mládeže 1102, Beroun, Czech Republic
600021491;Karla Čapka 1457, Beroun, Czech Republic
600006816;Jiráskova 617, Hořovice, Czech Republic
600006841;Palackého náměstí 100, Hořovice, Czech Republic
600170128;Dubská 967, Kladno, Czech Republic
600006930;Holandská 2531, Kladno, Czech Republic
600007162;Pařížská 2249, Kladno, Czech Republic
651036020;Cyrila Boudy 1444, Kladno, Czech Republic
600021661;Vrapická 53, Kladno, Czech Republic
600006972;nám.Edvarda Beneše 1573, Kladno, Czech Republic
600007065;náměstí Edvarda Beneše 2353, Kladno, Czech Republic
600007073;U Hvězdy 2279, Kladno, Czech Republic
600171728;Plzeňská 3103, Kladno, Czech Republic
600006905;Jana Palacha 1840, Kladno, Czech Republic
600006964;Cyrila Boudy 2954, Kladno, Czech Republic
600020207;Floriánské náměstí 350, Kladno, Czech Republic
600019519;Havířská 1141, Kladno, Czech Republic
600006913;Smetanovo nám. 1310, Slaný, Czech Republic
600170110;Hlaváčkovo nám. 673, Slaný, Czech Republic
600006921;Smetanovo nám. 1200, Slaný, Czech Republic
600021637;Hornická 410, Stochov, Czech Republic
600007022;J. Šípka 187, Stochov, Czech Republic
691004927;Kvílice 38, Třebíz, Czech Republic
600007057;Školní 268, Velvary, Czech Republic
651036062;Hlavní 245, Vinařice, Czech Republic
600007138;Školní 145, Český Brod, Czech Republic
600007120;Vítězná 616, Český Brod, Czech Republic
600021670;Žitomířská 1359, Český Brod, Czech Republic
600019527;Karoliny Světlé 135, Kolín I., Czech Republic
600170136;Pražská 112, Kolín II., Czech Republic
600007154;Legerova 28, Kolín III., Czech Republic
600007081;Žižkova 162, Kolín III, Czech Republic
600007090;Kutnohorská 41, Kolín IV., Czech Republic
600007146;U Křižovatky 262, Kolín IV., Czech Republic
600007189;Jaselská 826, Kolín IV., Czech Republic
600007171;Heverova 191, Kolín IV., Czech Republic
600021742;Kutnohorská 179, Kolín IV., Czech Republic
600170144;Havlíčkova 42, Kolín IV, Czech Republic
610450671;Macharova 1376, Kolín, Czech Republic
600007243;Masarykova 248, Čáslav, Czech Republic
600007260;Aug. Sedláčka 1145, Čáslav, Czech Republic
600007201;Žižkovo nám. 75, Čáslav, Czech Republic
600007278;Sadová 1234, Čáslav, Czech Republic
600007251;Přemysla Otakara II. 938, Čáslav, Czech Republic
600021807;Komenského nám. 140, Čáslav, Czech Republic
600007197;Poděbradova 288, Kutná Hora, Czech Republic
600007219;Jaselská 932, Kutná Hora, Czech Republic
600007294;Čáslavská 202, Kutná Hora, Czech Republic
600007286;Masarykova 197, Kutná Hora, Czech Republic
600021785;Na Náměti 417, Kutná Hora, Czech Republic
600007332;Dvořákovo náměstí 800, Kralupy nad Vltavou, Czech Republic
600007359;Cesta brigádníků 693, Kralupy nad Vltavou, Czech Republic
600007391;Boží Voda 230, Liběchov, Czech Republic
600007383;Na Polabí 411, Mělník, Czech Republic
600007316;Pod Vrchem 3421, Mělník, Czech Republic
600170161;K Učilišti 2566, Mělník, Czech Republic
600019535;Tyršova 105, Mělník, Czech Republic
600007375;Českobratrská 386, Mělník, Czech Republic
691002037;Palackého 43, Neratovice, Czech Republic
600007308;Masarykova 450, Neratovice, Czech Republic
610450620;Školní 664, Neratovice, Czech Republic
600007511;Horky nad Jizerou 35, Brodce nad Jizerou, Czech Republic
600007537;Loukovec, Hubálov 17, Loukov, Czech Republic
600007502;Palackého 211, Mladá Boleslav, Czech Republic
600007413;Palackého 191, Mladá Boleslav, Czech Republic
600170179;Na Karmeli 206, Mladá Boleslav, Czech Republic
600007529;T. G. Masaryka 14, Mladá Boleslav, Czech Republic
610451049;Jičínská 762, Mladá Boleslav, Czech Republic
600007464;Viničná 463, Mladá Boleslav, Czech Republic
600007472;B. Němcové 482, Mladá Boleslav, Czech Republic
650075277;Václavkova 1040, Mladá Boleslav, Czech Republic
600007499;Laurinova 1049, Mladá Boleslav, Czech Republic
600007481;Laurinova 1049, Mladá Boleslav, Czech Republic
600007448;Havlíčkova 456, Mladá Boleslav, Czech Republic
600019543;B. Němcové 482, Mladá Boleslav, Czech Republic
600007545;tř. Václava Klementa 869, Mladá Boleslav, Czech Republic
600007421;Studentská 896, Mnichovo Hradiště, Czech Republic
651018048;
610450956;Chotěšice 75, Dymokury, Czech Republic
600007669;Komenského 1534, Lysá nad Labem, Czech Republic
600007651;Stržiště 475, Lysá nad Labem, Czech Republic
691002673;Jiřice, Ruská cesta 404, Lysá nad Labem, Czech Republic
600007642;T. G. Masaryka 4, Městec Králové, Czech Republic
600007634;Komenského 779, Nymburk, Czech Republic
600170195;V Kolonii 1804, Nymburk, Czech Republic
600007618;Tyršova 447, Nymburk, Czech Republic
600019551;Soudní 20, Nymburk, Czech Republic
600007570;Jiřího náměstí 1, Poděbrady, Czech Republic
600007553;Studentská 166, Poděbrady, Czech Republic
600007561;Komenského 156/III, Poděbrady, Czech Republic
600007685;Dr. Beneše 413/II, Poděbrady, Czech Republic
600007600;Boučkova 355, Poděbrady, Czech Republic
600007774;Královická 668, Brandýs n.L.-St.Boleslav, Czech Republic
600007731;Zápská 302, Brandýs n.L.-St.Boleslav, Czech Republic
600170209;Pražská 370, Brandýs nad Labem, Czech Republic
600007693;J.A.Komenského 414, Čelákovice, Czech Republic
600007782;U Učiliště 1379, Čelákovice, Czech Republic
600171761;náměstí 5. května 2, Čelákovice, Czech Republic
600021696;K Jatkám 748, Kostelec nad Černými lesy, Czech Republic
600007707;U Letiště 370, Odolena Voda, Czech Republic
610451219;Táborská 1685, Říčany u Prahy, Czech Republic
600007766;Komenského náměstí 1, Říčany, Czech Republic
650068955;Babice 5, Říčany, Czech Republic
691003921;Jiráskova 1519, Říčany, Czech Republic
600022064;Kunice 60, Strančice, Czech Republic
691004498;Vonoklasy, Černošická 20, Černošice, Czech Republic
691002339;Komenského 141, Hostivice, Czech Republic
600007804;Čs. armády 17, Hostivice, Czech Republic
651024617;Straková 522, Jesenice, Czech Republic
600007791;Šenflukova 220, Jílové u Prahy, Czech Republic
600170217;Školská 105, Středokluky, Czech Republic
600007871;Rožmitálská 340, Březnice, Czech Republic
600007812;Školní 1530, Dobříš, Czech Republic
600007880;
600027970;
600007910;Balbínova 328, Příbram II, Czech Republic
600007821;Hrabákova 271, Příbram II, Czech Republic
610451251;Hornická 327, Příbram II, Czech Republic
600007839;Na Příkopech 104, Příbram I, Czech Republic
600019560;Jiráskovy sady 113, Příbram I, Czech Republic
600170225;Pod Šachtami 335, Příbram IV, Czech Republic
600007847;Legionářů 402, Příbram VII, Czech Republic
600170233;Gen. R. Tesaříka 114, Příbram, Czech Republic
600007928;Dubno, Příbram, Czech Republic
600007855;Nádražní 90, Sedlčany, Czech Republic
600007898;Na Červeném Hrádku 766, Sedlčany, Czech Republic
600007901;Petra Bezruče 364, Sedlčany, Czech Republic
600170268;Žatecká 1, Jesenice, Czech Republic
600171469;Plzeňská 63, Jesenice, Czech Republic
600007979;Písky 181, Křivoklát, Czech Republic
600007961;Komenského nám. 209, Nové Strašecí, Czech Republic
600007944;Sportovní 1135, Nové Strašecí, Czech Republic
600007952;nám. J. Žižky 186, Rakovník, Czech Republic
600170250;Na Jirkově 2309, Rakovník, Czech Republic
600007987;Pražská 1222, Rakovník, Czech Republic
600022188;Františka Diepolta 1576, Rakovník, Czech Republic
600170241;Gen. Kholla 2501/II, Rakovník, Czech Republic
600007936;Pražská 1222, Rakovník, Czech Republic
600020231;Emy Destinové 395, České Budějovice 2, Czech Republic
600008088;Jirsíkova 5, České Budějovice, Czech Republic
600008100;Pražská 54a, České Budějovice, Czech Republic
600008096;Třebízského 1010, České Budějovice, Czech Republic
600008266;Čéčova 2092/66, České Budějovice, Czech Republic
600008151;Česká 64, České Budějovice, Czech Republic
600007995;Fráni Šrámka 23, České Budějovice, Czech Republic
600008002;Jírovcova 8, České Budějovice, Czech Republic
600022242;Štítného 3, České Budějovice, Czech Republic
600022277;U Hvízdala 9, České Budějovice, Czech Republic
600022234;Riegrova 1, České Budějovice, Czech Republic
600008045;Husova 1, České Budějovice, Czech Republic
600008169;Rudolfovská 92, České Budějovice, Czech Republic
600008215;Jeronýmova 28/22, České Budějovice, Czech Republic
600008207;Dukelská 13, České Budějovice, Czech Republic
600008118;Žižkova tř. 4, České Budějovice, Czech Republic
600170314;Kněžskodvorská 33/A, České Budějovice, Czech Republic
600008185;Resslova 2, České Budějovice, Czech Republic
600170331;Senovážné náměstí 12, České Budějovice, Czech Republic
600170292;Husova 9, České Budějovice, Czech Republic
600170306;Nerudova 59, České Budějovice, Czech Republic
600019578;Husova 3, České Budějovice, Czech Republic
600008193;Skuherského 3, České Budějovice, Czech Republic
600170276;Zvolenovská 537, Hluboká nad Vltavou, Czech Republic
600008142;Hradčany 1070, Hluboká nad Vltavou, Czech Republic
651023599;tř. 5. května 3, Lišov, Czech Republic
600008037;Školní 995, Trhové Sviny, Czech Republic
600022226;Nové Město 228, Trhové Sviny, Czech Republic
600008061;Školní 709, Trhové Sviny, Czech Republic
600008029;Havlíčkova 13, Týn nad Vltavou, Czech Republic
600170284;Hněvkovice 1, Týn nad Vltavou, Czech Republic
600008231;Chvalšinská 112, Český Krumlov, Czech Republic
600019594;Tavírna 342, Český Krumlov, Czech Republic
600008240;Tavírna 109, Český Krumlov, Czech Republic
651016029;Pohorská 86, Kaplice, Czech Republic
600170349;U Hřiště 527, Velešín, Czech Republic
600170373;Revoluční 220, České Velenice, Czech Republic
600008347;Boženy Němcové 213, Dačice, Czech Republic
600008380;nám. Republiky 86/V, Dačice, Czech Republic
600170357;Strojírenská 304, Dačice, Czech Republic
600008282;Husova 333, Jindřichův Hradec, Czech Republic
600022331;Jarošovská 1125/II, Jindřichův Hradec, Czech Republic
600008304;Husova 156, Jindřichův Hradec, Czech Republic
600008274;Jáchymova 478, Jindřichův Hradec, Czech Republic
600008339;Kmentova 90/II, Jindřichův Hradec, Czech Republic
600019608;Klášterská 77/II, Jindřichův Hradec, Czech Republic
600028151;Gymnazijní 118, Jindřichův Hradec, Czech Republic
600008291;Na Sadech 308, Třeboň, Czech Republic
600008371;Vrchlického 567, Třeboň, Czech Republic
600008363;Táboritská 941/II, Třeboň, Czech Republic
600008533;Masarykova 183, Milevsko, Czech Republic
600170381;Čs. armády 777, Milevsko, Czech Republic
600022510;Šobrova 111, Písek, Czech Republic
600008541;Komenského 89, Písek, Czech Republic
600008584;Karlova 111, Písek, Czech Republic
600008592;Komenského 86, Písek, Czech Republic
600008525;Budějovická 100, Písek, Czech Republic
600020266;Karla Čapka 402, Písek, Czech Republic
600019616;Národní svobody 420, Písek, Czech Republic
600008550;Čelakovského 200, Písek, Czech Republic
600020274;Lesnická 55, Písek, Czech Republic
600008649;Zlatá stezka 137, Prachatice, Czech Republic
600008665;Zlatá stezka 240, Prachatice, Czech Republic
600020282;Zahradní 249, Prachatice, Czech Republic
600008690;Pivovarská 69, Vimperk, Czech Republic
600008681;Nerudova 267, Vimperk, Czech Republic
600008703;V Jezárkách 745, Blatná, Czech Republic
600008754;U Sladovny 671, Blatná, Czech Republic
600008738;Husova 361, Strakonice, Czech Republic
600008789;Máchova 174, Strakonice, Czech Republic
691003807;Zvolenská, Strakonice, Czech Republic
600008746;Bavorovská 1046, Vodňany, Czech Republic
651016762;Zeyerovy sady 43/II, Vodňany, Czech Republic
600020291;Zátiší 480, Vodňany, Czech Republic
600008711;Palackého 81, Vodňany, Czech Republic
600170403;Lidická 135, Volyně, Czech Republic
600020312;Resslova 440, Volyně, Czech Republic
600008860;Písecká 203, Bechyně, Czech Republic
600170438;Budějovická 421, Sezimovo Ústí, Czech Republic
600008819;Dr. Edvarda Beneše 449/II, Soběslav, Czech Republic
600022706;Mrázkova 700, Soběslav, Czech Republic
691003769;Wilsonova 405, Soběslav, Czech Republic
600008801;Nám. Frant. Křižíka 860, Tábor, Czech Republic
600020321;Jiráskova 1615, Tábor, Czech Republic
600008827;Zborovská 2696, Tábor, Czech Republic
600008797;Komenského 1670, Tábor, Czech Republic
651023572;Bydlinského 2474, Tábor, Czech Republic
600008886;Bydlinského 2474, Tábor, Czech Republic
600019624;Mostecká 1912, Tábor, Czech Republic
600008835;Zavadilská 2472, Tábor, Czech Republic
600020339;nám. T. G. Masaryka 788, Tábor, Czech Republic
600008851;Blatské sídliště 600/I, Veselí nad Lužnicí I, Czech Republic
600008908;Pivovarská 323, Domažlice, Czech Republic
600008941;Prokopa Velikého 640, Domažlice, Czech Republic
600008932;Erbenova 184, Domažlice, Czech Republic
600170454;Littrowa 122, Horšovský Týn, Czech Republic
600022765;Nádražní 89, Horšovský Týn, Czech Republic
600028429;Chodské náměstí 131, Hostouň, Czech Republic
600008924;Trnkova 125, Staňkov, Czech Republic
600009408;Blatenská 313, Horažďovice, Czech Republic
600009335;nábřeží Kpt. Nálepky 362, Klatovy 3, Czech Republic
600009327;Národních mučedníků 347, Klatovy, Czech Republic
600009424;Národních mučedníků 141, Klatovy, Czech Republic
600009386;Plánická 196, Klatovy, Czech Republic
600009360;Fr. Procházky 324, Sušice, Czech Republic
600009416;U Kapličky 761, Sušice, Czech Republic
600009696;Nade Mží 1, Plzeň, Czech Republic
600009564;Nade Mží 1, Plzeň, Czech Republic
600009611;Mikulášské nám. 15, Plzeň, Czech Republic
600009637;Sokolovská 54, Plzeň, Czech Republic
600009548;Opavská 21, Plzeň, Czech Republic
600009556;Mikulášské nám. 23, Plzeň, Czech Republic
600009700;U Borského parku 3, Plzeň, Czech Republic
600170501;Škroupova 13, Plzeň, Czech Republic
600009530;Petákova 2, Plzeň, Czech Republic
600009599;nám. T. G. Masaryka 13, Plzeň, Czech Republic
600022986;Vejprnická 56, Plzeň, Czech Republic
600009661;Politických vězňů 5, Plzeň, Czech Republic
600009602;Nerudova 33, Plzeň, Czech Republic
650076575;Husova 1126, Plzeň, Czech Republic
600009670;Pod Vinicemi 82, Plzeň, Czech Republic
600009726;sady 5. května 21, Plzeň, Czech Republic
600009459;Táborská 28, Plzeň, Czech Republic
610100645;Klatovská 109, Plzeň, Czech Republic
600009467;Klatovská 200 G, Plzeň, Czech Republic
610100581;Vejprnická 56, Plzeň, Czech Republic
600009718;Borská 55, Plzeň, Czech Republic
610100530;Karlovarská 99, Plzeň, Czech Republic
600009734;Chodské nám. 2, Plzeň, Czech Republic
600019675;Karlovarská 99, Plzeň, Czech Republic
600009491;Koterovská 85, Plzeň, Czech Republic
600009742;Raisova 96, Starý Plzenec, Czech Republic
600009751;Družstevní 650, Blovice, Czech Republic
600009769;Oselce 1, Nepomuk, Czech Republic
600009785;Zámecká 1, Spálené Poříčí, Czech Republic
600009823;U Klubu 302, Horní Bříza, Czech Republic
600009815;nám. Osvobození 32, Kralovice, Czech Republic
600009793;Školní 280, Plasy, Czech Republic
600023036;V Sídlišti 349, Zbůch, Czech Republic
600009831;Mládežníků 1115, Rokycany, Czech Republic
600009866;Mládežníků 228, Rokycany, Czech Republic
600009858;Jeřabinová 96/III, Rokycany, Czech Republic
600028747;Terešov 1, Zbiroh, Czech Republic
600009963;Plzeňská 231, Bor, Czech Republic
600009971;Kostelní 129, Planá, Czech Republic
600009947;Soběslavova 1426, Stříbro, Czech Republic
600009980;Benešova 508, Stříbro, Czech Republic
600009955;Pionýrská 1370, Tachov, Czech Republic
600170535;Světce 1, Tachov, Czech Republic
600008975;Hlavní 106, Aš, Czech Republic
600066584;Studentská 13, Aš, Czech Republic
600009009;Nerudova 7, Cheb, Czech Republic
600170462;Obrněné brigády 6, Cheb, Czech Republic
600019632;Hradební 2, Cheb, Czech Republic
600009076;Jánské náměstí 15, Cheb, Czech Republic
651011434;PO BOX 43, Mariánské Lázně 569, Czech Republic
600008991;Ruská 355, Mariánské Lázně, Czech Republic
600009033;Komenského 449, Mariánské Lázně, Czech Republic
600009301;Hlavní 114, Dalovice, Czech Republic
600009181;Hlavní 27, Dalovice, Czech Republic
600009262;Národní 25, Karlovy Vary, Czech Republic
600009190;Bezručova 17, Karlovy Vary, Czech Republic
600009211;nám. V. Řezáče 5, Karlovy Vary, Czech Republic
600009254;Jana Palacha 932, Karlovy Vary, Czech Republic
600009122;Lidická 40, Karlovy Vary, Czech Republic
600009319;Sabinovo nám. 16, Karlovy Vary, Czech Republic
600009106;Ondřejská 56, Karlovy Vary, Czech Republic
600009203;nám. 17. listopadu 12, Karlovy Vary, Czech Republic
600009238;Konečná 21, Karlovy Vary, Czech Republic
600019641;Poděbradská 2, Karlovy Vary, Czech Republic
